Filename                        Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
app.rs                              875               875     0.00%          82                82     0.00%         688               688     0.00%           0                 0         -
cli.rs                               20                20     0.00%           1                 1     0.00%           9                 9     0.00%           0                 0         -
domain/entry.rs                     333                19    94.29%          19                 1    94.74%         222                14    93.69%           0                 0         -
domain/filter.rs                    590                97    83.56%          30                 4    86.67%         309                60    80.58%           0                 0         -
domain/mock.rs                      254                14    94.49%          23                 4    82.61%         137                 9    93.43%           0                 0         -
domain/network.rs                   130                60    53.85%           8                 3    62.50%         113                61    46.02%           0                 0         -
domain/network_filter.rs            247                32    87.04%          17                 1    94.12%         144                21    85.42%           0                 0         -
domain/network_store.rs             296               247    16.55%          22                16    27.27%         167               138    17.37%           0                 0         -
domain/sse_merge.rs                 396                33    91.67%          20                 0   100.00%         194                18    90.72%           0                 0         -
domain/store.rs                      50                50     0.00%           7                 7     0.00%          39                39     0.00%           0                 0         -
domain/structured_parser.rs         813                60    92.62%          54                 2    96.30%         445                32    92.81%           0                 0         -
domain/ws_chat.rs                   373                27    92.76%          31                 1    96.77%         217                12    94.47%           0                 0         -
event.rs                           2041              2041     0.00%          44                44     0.00%        1325              1325     0.00%           0                 0         -
input/connector.rs                  132                48    63.64%          11                 4    63.64%         112                47    58.04%           0                 0         -
input/protocol.rs                   162                 6    96.30%          10                 0   100.00%         104                 5    95.19%           0                 0         -
main.rs                             661               554    16.19%          28                20    28.57%         369               316    14.36%           0                 0         -
parser/generic.rs                   308                34    88.96%          21                 1    95.24%         183                30    83.61%           0                 0         -
parser/keyword.rs                    85                 4    95.29%          10                 1    90.00%          54                 4    92.59%           0                 0         -
parser/mod.rs                        16                16     0.00%           2                 2     0.00%          16                16     0.00%           0                 0         -
parser/network.rs                     8                 8     0.00%           1                 1     0.00%           6                 6     0.00%           0                 0         -
parser/structured.rs                333                19    94.29%          20                 1    95.00%         168                 4    97.62%           0                 0         -
replay.rs                           201               201     0.00%           5                 5     0.00%         109               109     0.00%           0                 0         -
session.rs                           93                93     0.00%           5                 5     0.00%          69                69     0.00%           0                 0         -
transport/adb.rs                     32                32     0.00%           4                 4     0.00%          32                32     0.00%           0                 0         -
transport/device_monitor.rs         733               733     0.00%          64                64     0.00%         410               410     0.00%           0                 0         -
transport/usbmuxd.rs                294               294     0.00%          15                15     0.00%         131               131     0.00%           0                 0         -
ui/help.rs                          926               926     0.00%           9                 9     0.00%         379               379     0.00%           0                 0         -
ui/input_field.rs                   287                19    93.38%          13                 0   100.00%         179                15    91.62%           0                 0         -
ui/json_viewer/colorize.rs          309               309     0.00%           1                 1     0.00%         171               171     0.00%           0                 0         -
ui/json_viewer/palette.rs            10                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
ui/json_viewer/render.rs           1089                64    94.12%          46                 2    95.65%         544                35    93.57%           0                 0         -
ui/json_viewer/state.rs             116                 0   100.00%           8                 0   100.00%          56                 0   100.00%           0                 0         -
ui/json_viewer/tree.rs              217                 4    98.16%          15                 1    93.33%         115                 4    96.52%           0                 0         -
ui/logs/detail/mod.rs               281               281     0.00%           1                 1     0.00%         130               130     0.00%           0                 0         -
ui/logs/detail/renderers.rs         498                62    87.55%          23                 2    91.30%         260                37    85.77%           0                 0         -
ui/logs/detail/section.rs           285                 7    97.54%          17                 0   100.00%         149                 5    96.64%           0                 0         -
ui/logs/highlight.rs                148                10    93.24%           3                 0   100.00%          89                 2    97.75%           0                 0         -
ui/logs/jump.rs                      25                 0   100.00%           6                 0   100.00%          20                 0   100.00%           0                 0         -
ui/logs/mod.rs                     2117              2117     0.00%          44                44     0.00%        1015              1015     0.00%           0                 0         -
ui/logs/stats.rs                    206               206     0.00%           6                 6     0.00%         100               100     0.00%           0                 0         -
ui/mod.rs                           301               166    44.85%          10                 4    60.00%         160                91    43.12%           0                 0         -
ui/network/detail.rs               1473              1473     0.00%          20                20     0.00%         862               862     0.00%           0                 0         -
ui/network/filter.rs                341               341     0.00%           5                 5     0.00%         176               176     0.00%           0                 0         -
ui/network/mock_rules.rs            737               737     0.00%           8                 8     0.00%         334               334     0.00%           0                 0         -
ui/network/mod.rs                   866               845     2.42%          23                21     8.70%         501               486     2.99%           0                 0         -
ui/network/stats.rs                 719               719     0.00%          14                14     0.00%         346               346     0.00%           0                 0         -
ui/source_select.rs                1401              1401     0.00%          13                13     0.00%         627               627     0.00%           0                 0         -
ui/tab_bar.rs                       171               171     0.00%           5                 5     0.00%          73                73     0.00%           0                 0         -
ui/text_editor.rs                   541                11    97.97%          35                 0   100.00%         344                 9    97.38%           0                 0         -
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                             22540             15486    31.30%         881               445    49.49%       12408              8502    31.48%           0                 0         -
