Filename                        Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
app.rs                              875                40    95.43%          82                 2    97.56%         688                21    96.95%           0                 0         -
cli.rs                              154                 1    99.35%          14                 0   100.00%          69                 0   100.00%           0                 0         -
domain/entry.rs                     333                 1    99.70%          19                 0   100.00%         222                 1    99.55%           0                 0         -
domain/filter.rs                   1213                 5    99.59%          69                 1    98.55%         580                 2    99.66%           0                 0         -
domain/mock.rs                      254                 8    96.85%          23                 2    91.30%         137                 5    96.35%           0                 0         -
domain/network.rs                   391                 0   100.00%          28                 0   100.00%         276                 0   100.00%           0                 0         -
domain/network_filter.rs            665                 0   100.00%          53                 0   100.00%         328                 0   100.00%           0                 0         -
domain/network_store.rs            1272                 0   100.00%          65                 0   100.00%         621                 0   100.00%           0                 0         -
domain/sse_merge.rs                 396                33    91.67%          20                 0   100.00%         194                18    90.72%           0                 0         -
domain/store.rs                     460                 0   100.00%          28                 0   100.00%         202                 0   100.00%           0                 0         -
domain/structured_parser.rs         813                60    92.62%          54                 2    96.30%         445                32    92.81%           0                 0         -
domain/ws_chat.rs                   373                26    93.03%          31                 1    96.77%         217                11    94.93%           0                 0         -
event.rs                           2087               788    62.24%          48                17    64.58%        1352               527    61.02%           0                 0         -
input/connector.rs                  138                 7    94.93%          12                 0   100.00%         116                 2    98.28%           0                 0         -
input/protocol.rs                   457                12    97.37%          30                 0   100.00%         325                10    96.92%           0                 0         -
main.rs                             814               442    45.70%          37                18    51.35%         488               257    47.34%           0                 0         -
parser/generic.rs                   492                16    96.75%          37                 0   100.00%         284                13    95.42%           0                 0         -
parser/keyword.rs                    85                 1    98.82%          10                 0   100.00%          54                 1    98.15%           0                 0         -
parser/mod.rs                       179                 6    96.65%          16                 0   100.00%         103                 3    97.09%           0                 0         -
parser/network.rs                    89                 0   100.00%           7                 0   100.00%          38                 0   100.00%           0                 0         -
parser/structured.rs                605                15    97.52%          46                 0   100.00%         312                 0   100.00%           0                 0         -
replay.rs                           206               201     2.43%           6                 5    16.67%         113               109     3.54%           0                 0         -
session.rs                          577                11    98.09%          33                 3    90.91%         324                 7    97.84%           0                 0         -
transport/adb.rs                     81                28    65.43%          11                 4    63.64%          61                31    49.18%           0                 0         -
transport/device_monitor.rs        2037               260    87.24%         164                21    87.20%        1067               144    86.50%           0                 0         -
transport/usbmuxd.rs                469               139    70.36%          26                 7    73.08%         215                58    73.02%           0                 0         -
ui/help.rs                          926                 0   100.00%           9                 0   100.00%         379                 0   100.00%           0                 0         -
ui/input_field.rs                   411                 4    99.03%          25                 0   100.00%         311                 2    99.36%           0                 0         -
ui/json_viewer/colorize.rs          680                10    98.53%          39                 0   100.00%         374                 7    98.13%           0                 0         -
ui/json_viewer/palette.rs            10                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
ui/json_viewer/render.rs           1089                64    94.12%          46                 2    95.65%         544                35    93.57%           0                 0         -
ui/json_viewer/state.rs             116                 0   100.00%           8                 0   100.00%          56                 0   100.00%           0                 0         -
ui/json_viewer/tree.rs              217                 4    98.16%          15                 1    93.33%         115                 4    96.52%           0                 0         -
ui/logs/detail/mod.rs               281                 9    96.80%           1                 0   100.00%         130                 5    96.15%           0                 0         -
ui/logs/detail/renderers.rs         498                24    95.18%          23                 0   100.00%         260                11    95.77%           0                 0         -
ui/logs/detail/section.rs           285                 7    97.54%          17                 0   100.00%         149                 5    96.64%           0                 0         -
ui/logs/highlight.rs                148                 0   100.00%           3                 0   100.00%          89                 0   100.00%           0                 0         -
ui/logs/jump.rs                      25                 0   100.00%           6                 0   100.00%          20                 0   100.00%           0                 0         -
ui/logs/mod.rs                     2222               202    90.91%          59                 4    93.22%        1080                97    91.02%           0                 0         -
ui/logs/stats.rs                    206                 0   100.00%           6                 0   100.00%         100                 0   100.00%           0                 0         -
ui/mod.rs                           514                 7    98.64%          36                 0   100.00%         276                 5    98.19%           0                 0         -
ui/network/detail.rs               1473               234    84.11%          20                 1    95.00%         862               138    83.99%           0                 0         -
ui/network/filter.rs                341                 1    99.71%           5                 0   100.00%         176                 1    99.43%           0                 0         -
ui/network/mock_rules.rs            737                10    98.64%           8                 1    87.50%         334                 8    97.60%           0                 0         -
ui/network/mod.rs                   899                85    90.55%          28                 2    92.86%         524                57    89.12%           0                 0         -
ui/network/stats.rs                 719                41    94.30%          14                 2    85.71%         346                32    90.75%           0                 0         -
ui/source_select.rs                1401                13    99.07%          13                 1    92.31%         627                 2    99.68%           0                 0         -
ui/tab_bar.rs                       430                 2    99.53%          24                 0   100.00%         224                 2    99.11%           0                 0         -
ui/text_editor.rs                   665                 2    99.70%          46                 0   100.00%         422                 1    99.76%           0                 0         -
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                             29808              2819    90.54%        1422                97    93.18%       16235              1664    89.75%           0                 0         -
